Item,Quantity,Unit Price,Link,Notes
Custom PCB,1,57.76,no link,"A custom designed PCB with an ESP32-S3 chip for processing."
OV2640 24-pin DVP camera module (75MM-120),1,8.19,https://www.aliexpress.us/item/3256805763260734.html,"2MP, DVP 24-pin 0.5mm FPC."
Bone conduction transducer,2,7.77,https://www.aliexpress.us/item/3256805202736798.html,"8-16 ohm, electromagnetic (NOT piezo). Frame unit: GD-02 style compact drivers."
MAX98357A I2S class-D amp,2,5.95,https://www.adafruit.com/product/3006,"Mono audio out, drives bone-conduction transducers; gate via SD pin for power."
2 pack 3.7V 200mAh Lipo Batterys,1,4.97,https://www.aliexpress.us/item/3256812285518045.html,"Total of about 400mAh, should last a full day of use before charge."
GY-MAX30102 heart-rate breakout,1,2.09,https://www.aliexpress.us/item/3256810169517122.html,"heart rate sensor for emotion mapping."
Electret mic,1,2.36,https://www.sameskydevices.com/product/audio/microphones/electret-condenser-microphones/cmc-4013-2-smt-tr,"Always-on wake-on-sound, wakes ESP32 from deep sleep via GPIO. Only peripheral that stays powered in deep sleep."
5 pack INMP441 I2S mic (MH-ET LIVE),5,3.55,https://www.aliexpress.us/item/3256809614473821.html,"Primary speech mic I2S into S3."
Face Shield For Lenses,1,6.99,https://www.amazon.com/Saillong-Replacement-Compatible-Shields-Grinding/dp/B0D8L11X2C/ref=sr_1_5,"Transparent face shield to be cut to size for glasses lenses."
Signal Antenna,1,7.02,https://www.amazon.com/Adafruit-2-4GHz-Flexible-Antenna-Connector/dp/B01E43VXO0,"A 50Ω 100mm 4dBi Antenna, plugs into board's U.FL port."
