"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C2","2","12pF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"C3,C4,C5,C6,C10","5","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"C7","1","1µF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"C8,C9","2","10µF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0603_1608Metric",""
"J1","1","USB_C_Receptacle","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x06","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_Array_Convex_8x0602",""
"J3","1","Conn_01x05","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_Array_Convex_5x0603",""
"J4,J5,J7","3","Conn_01x02","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",""
"J6","1","FPC_24PIN","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_FFC-FPC:Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",""
"L1","1","1µH","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_0603_1608Metric",""
"M1","1","Electret","","","","","${EXCLUDE_FROM_POS_FILES}","Sensor_Audio:CUI_CMC-4013-SMT",""
"R1,R5,R6,R7","4","10kΩ","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0402_1005Metric",""
"R2,R3","2","33Ω","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0402_1005Metric",""
"R4","1","2.2kΩ","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0402_1005Metric",""
"U1","1","ESP32-S3","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm","https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf"
"U2,U3","2","MAX98357A","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DFN_QFN:Diodes_UDFN3810-9_TYPE_B",""
"U4","1","TP4054","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-5",""
"U5","1","Comparator","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-5",""
"Y1","1","40MHz","","","","","${EXCLUDE_FROM_POS_FILES}","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm",""
