Comment,Designator,Footprint,Qty,LCSC Part #
ESP32-S3FN8R2,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,C2913196
MAX98357A,U2,Diodes_UDFN3810-9_TYPE_B,1,C910544
MAX98357A,U3,Diodes_UDFN3810-9_TYPE_B,1,C910544
TP4054,U4,SOT-23-5,1,C382138
Comparator,U5,SOT-23-5,1,
USB_C_Receptacle,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,C3025063
FPC_24PIN,J6,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,C202112
Electret,M1,CUI_CMC-4013-SMT,1,C7558046
40MHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,C47089401
1uH,L1,Inductor_SMD:L_0603_1608Metric,1,
12pF,C1,C_0402_1005Metric,1,C1665
12pF,C2,C_0402_1005Metric,1,C1665
100nF,C3,C_0402_1005Metric,1,C15550
100nF,C4,C_0402_1005Metric,1,C15550
100nF,C5,C_0402_1005Metric,1,C15550
100nF,C6,C_0402_1005Metric,1,C15550
1uF,C7,C_0402_1005Metric,1,C15849
10uF,C8,C_0603_1608Metric,1,C26956
10uF,C9,C_0603_1608Metric,1,C26956
100nF,C10,C_0402_1005Metric,1,C15550
10k,R1,R_0402_1005Metric,1,C25904
33R,R2,R_0402_1005Metric,1,C22854
33R,R3,R_0402_1005Metric,1,C22854
2.2k,R4,R_0402_1005Metric,1,C25805
10k,R5,R_0402_1005Metric,1,C25904
10k,R6,R_0402_1005Metric,1,C25904
10k,R7,R_0402_1005Metric,1,C25904
