Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric",136.500000,-102.000000,90.000000,top
"C2","12pF","C_0402_1005Metric",143.000000,-102.520000,-90.000000,top
"C3","100nF","C_0402_1005Metric",133.500000,-106.520000,90.000000,top
"C4","100nF","C_0402_1005Metric",135.500000,-88.020000,90.000000,top
"C5","100nF","C_0402_1005Metric",136.500000,-86.980000,90.000000,top
"C6","100nF","C_0402_1005Metric",135.000000,-91.020000,90.000000,top
"C7","1µF","C_0402_1005Metric",133.500000,-92.000000,90.000000,top
"C8","10µF","C_0603_1608Metric",134.000000,-141.500000,0.000000,top
"C9","10µF","C_0603_1608Metric",134.275000,-139.000000,0.000000,top
"C10","100nF","C_0402_1005Metric",133.500000,-89.520000,90.000000,top
"C11","1.5pF","C_0402_1005Metric",133.020000,-104.000000,0.000000,top
"C12","1.5pF","C_0402_1005Metric",133.155000,-101.500000,0.000000,top
"C13","1µF","C_0603_1608Metric",133.000000,-115.500000,-90.000000,top
"C14","10µF","C_0603_1608Metric",133.000000,-118.725000,90.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",141.105000,-136.610000,90.000000,top
"J2","Conn_01x06","R_Array_Convex_8x0602",135.400000,-121.750000,0.000000,top
"J3","Conn_01x05","R_Array_Convex_5x0603",135.900000,-116.360000,0.000000,top
"J6","FPC_24PIN","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",140.350000,-91.500000,90.000000,top
"J8","U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",134.525000,-98.500000,0.000000,top
"L1","1µH","L_0603_1608Metric",134.500000,-135.500000,90.000000,top
"L2","2.4nH","L_0402_1005Metric",133.485000,-102.500000,0.000000,top
"M1","Electret","CUI_CMC-4013-SMT",134.500000,-84.000000,0.000000,top
"R1","10kΩ","R_0402_1005Metric",142.500000,-124.500000,0.000000,top
"R2","33Ω","R_0402_1005Metric",144.500000,-123.990000,90.000000,top
"R3","33Ω","R_0402_1005Metric",144.000000,-116.010000,90.000000,top
"R4","2.2kΩ","R_0402_1005Metric",134.000000,-87.490000,90.000000,top
"R5","10kΩ","R_0402_1005Metric",142.500000,-123.000000,180.000000,top
"R6","10kΩ","R_0402_1005Metric",142.500000,-125.500000,0.000000,top
"R7","10kΩ","R_0402_1005Metric",132.500000,-136.000000,90.000000,top
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",138.800000,-107.950000,0.000000,top
"U2","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",140.100000,-115.437500,0.000000,top
"U3","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",142.937500,-119.562500,0.000000,top
"U4","TP4054","SOT-23-5",142.362500,-128.550000,0.000000,top
"U5","Comparator","SOT-23-5",137.000000,-128.500000,0.000000,top
"U6","ME6211C33M5","SOT-23-5",139.362500,-123.050000,0.000000,top
"Y1","40MHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",139.250000,-102.000000,0.000000,top
