Comment,Designator,Footprint,Qty,LCSC Part #
ESP32-S3FN8R2,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,C2913196
MAX98357A,U2,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,C910544
MAX98357A,U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,C910544
TP4054,U4,SOT-23-5,1,C382138
MCP6541,U5,SOT-23-5,1,C80839
ME6211C33M5G-N,U6,SOT-23-5,1,C82942
USB_C_Receptacle,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,C3025063
FPC_24PIN,J6,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,C202112
U.FL-R-SMT-1(80),J8,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,C88374
40MHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,C47089401
1uH,L1,L_0603_1608Metric,1,C2839970
2.4nH,L2,L_0402_1005Metric,1,
12pF,C1,C_0402_1005Metric,1,C1547
12pF,C2,C_0402_1005Metric,1,C1547
100nF,C3,C_0402_1005Metric,1,C1525
100nF,C4,C_0402_1005Metric,1,C1525
100nF,C5,C_0402_1005Metric,1,C1525
100nF,C6,C_0402_1005Metric,1,C1525
1uF,C7,C_0402_1005Metric,1,C52923
10uF,C8,C_0603_1608Metric,1,C19702
10uF,C9,C_0603_1608Metric,1,C19702
100nF,C10,C_0402_1005Metric,1,C1525
1.5pF,C11,C_0402_1005Metric,1,C1552
1.5pF,C12,C_0402_1005Metric,1,C1552
1uF,C13,C_0603_1608Metric,1,
10uF,C14,C_0603_1608Metric,1,C19702
10k,R1,R_0402_1005Metric,1,C25744
33R,R2,R_0402_1005Metric,1,C25105
33R,R3,R_0402_1005Metric,1,C25105
2.2k,R4,R_0402_1005Metric,1,C25879
10k,R5,R_0402_1005Metric,1,C25744
10k,R6,R_0402_1005Metric,1,C25744
10k,R7,R_0402_1005Metric,1,C25744
