"Designator","Mid X","Mid Y","Layer","Rotation"
"C11","1.52","38.5","Top","0"
"J1","9.605","5.89","Top","90"
"U4","10.8625","13.95","Top","0"
"L2","1.985","40","Top","0"
"U1","7.3","34.55","Top","0"
"U6","7.8625","19.45","Top","0"
"U3","11.4375","22.9375","Top","0"
"C6","3.5","51.48","Top","90"
"R3","12.5","26.49","Top","90"
"C4","4","54.48","Top","90"
"C8","2.5","1","Top","0"
"R1","11","18","Top","0"
"U5","5.5","14","Top","0"
"C10","2","52.98","Top","90"
"R7","1","6.5","Top","90"
"R4","2.5","55.01","Top","90"
"C9","2.775","3.5","Top","0"
"R5","11","19.5","Top","180"
"C2","11.5","39.98","Top","270"
"R2","13","18.51","Top","90"
"C5","5","55.52","Top","90"
"C12","1.655","41","Top","0"
"Y1","7.75","40.5","Top","0"
"J8","3.025","44","Top","0"
"U2","8.6","27.0625","Top","0"
"C13","1.5","27","Top","270"
"L1","3","7","Top","90"
"J6","8.85","51","Top","90"
"C14","1.5","23.775","Top","90"
"C1","5","40.5","Top","90"
"C7","2","50.5","Top","90"
"C3","2","35.98","Top","90"
"R6","11","17","Top","0"
